,Episode,Reward
2,2,-19.0
2,2,-20.0
2,2,-20.0
2,2,-18.0
2,2,-20.0
2,2,-16.0
2,2,-16.0
2,2,-20.0
2,2,-20.0
2,2,-19.0
2,2,-19.0
2,2,-21.0
2,2,-19.0
2,2,-20.0
2,2,-20.0
2,2,-18.0
2,2,-19.0
2,2,-14.0
2,2,-18.0
2,2,-18.0
2,2,-18.0
2,2,-18.0
2,2,-19.0
2,2,-16.0
2,2,-20.0
2,2,-21.0
2,2,-18.0
2,2,-17.0
2,2,-21.0
2,2,-20.0
2,2,-18.0
2,2,-20.0
2,2,-17.0
2,2,-18.0
2,2,-17.0
2,2,-15.0
2,2,-18.0
2,2,-17.0
2,2,-17.0
2,2,-16.0
2,2,-18.0
2,2,-20.0
2,2,-21.0
2,2,-18.0
2,2,-19.0
2,2,-16.0
2,2,-15.0
2,2,-16.0
2,2,-20.0
2,2,-20.0
2,2,-19.0
2,2,-20.0
2,2,-19.0
2,2,-20.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-19.0
2,2,-20.0
2,2,-18.0
2,2,-18.0
2,2,-18.0
2,2,-19.0
2,2,-19.0
2,2,-19.0
2,2,-16.0
2,2,-19.0
2,2,-17.0
2,2,-19.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-18.0
2,2,-18.0
2,2,-19.0
2,2,-18.0
2,2,-20.0
2,2,-16.0
2,2,-18.0
2,2,-20.0
2,2,-20.0
2,2,-19.0
2,2,-21.0
2,2,-20.0
2,2,-15.0
2,2,-16.0
2,2,-15.0
2,2,-17.0
2,2,-18.0
2,2,-17.0
2,2,-20.0
2,2,-18.0
2,2,-19.0
2,2,-16.0
2,2,-20.0
2,2,-20.0
2,2,-20.0
2,2,-18.0
2,2,-21.0
2,2,-16.0
2,2,-18.0
2,2,-18.0
2,2,-18.0
2,2,-17.0
2,2,-13.0
2,2,-18.0
2,2,-17.0
3,3,-17.0
3,3,-18.0
3,3,-17.0
3,3,-15.0
3,3,-17.0
3,3,-17.0
3,3,-18.0
3,3,-15.0
3,3,-15.0
3,3,-20.0
3,3,-16.0
3,3,-18.0
3,3,-17.0
3,3,-16.0
3,3,-16.0
3,3,-16.0
3,3,-18.0
3,3,-14.0
3,3,-17.0
3,3,-14.0
3,3,-19.0
3,3,-17.0
3,3,-19.0
3,3,-15.0
3,3,-12.0
3,3,-19.0
3,3,-16.0
3,3,-19.0
3,3,-19.0
3,3,-13.0
3,3,-15.0
3,3,-20.0
3,3,-10.0
3,3,-3.0
3,3,-15.0
3,3,-19.0
3,3,-9.0
3,3,-19.0
3,3,-14.0
3,3,-16.0
3,3,-16.0
3,3,-15.0
3,3,-17.0
3,3,-16.0
3,3,-18.0
3,3,-16.0
3,3,-14.0
3,3,-15.0
3,3,-16.0
3,3,-9.0
3,3,-12.0
3,3,-16.0
3,3,-18.0
3,3,-18.0
3,3,-17.0
3,3,-14.0
3,3,-16.0
3,3,-14.0
3,3,-12.0
3,3,-11.0
3,3,-18.0
3,3,-14.0
3,3,-14.0
3,3,-16.0
3,3,-18.0
3,3,-13.0
3,3,-11.0
3,3,-16.0
3,3,-15.0
3,3,-18.0
3,3,-12.0
3,3,-16.0
3,3,-11.0
3,3,-19.0
3,3,-16.0
3,3,-15.0
3,3,-19.0
3,3,-11.0
3,3,-17.0
3,3,-14.0
3,3,-13.0
3,3,-17.0
3,3,-9.0
3,3,-17.0
3,3,-14.0
3,3,-13.0
3,3,-17.0
3,3,-11.0
3,3,-13.0
3,3,-14.0
3,3,-16.0
3,3,-16.0
3,3,-14.0
3,3,-17.0
3,3,-19.0
3,3,-17.0
3,3,-17.0
4,4,-10.0
4,4,-16.0
4,4,-11.0
4,4,-16.0
4,4,-16.0
4,4,-19.0
4,4,-11.0
4,4,-13.0
4,4,-17.0
4,4,-18.0
4,4,-11.0
4,4,-16.0
4,4,-15.0
4,4,-13.0
4,4,-10.0
4,4,-16.0
4,4,-8.0
4,4,-13.0
4,4,-18.0
4,4,-8.0
4,4,-19.0
4,4,-16.0
4,4,-16.0
4,4,-15.0
4,4,-14.0
4,4,-16.0
4,4,-10.0
4,4,-17.0
4,4,-12.0
4,4,-14.0
4,4,-13.0
4,4,-13.0
4,4,-16.0
4,4,-10.0
4,4,-13.0
4,4,-11.0
4,4,-12.0
4,4,-14.0
4,4,-9.0
4,4,-7.0
4,4,-12.0
4,4,-18.0
4,4,-17.0
4,4,-14.0
4,4,-18.0
4,4,-17.0
4,4,-13.0
4,4,-15.0
4,4,-13.0
4,4,-15.0
4,4,-16.0
4,4,-17.0
4,4,-15.0
4,4,-15.0
4,4,-13.0
4,4,-8.0
4,4,-15.0
4,4,-9.0
4,4,-7.0
4,4,-9.0
4,4,-15.0
4,4,-14.0
4,4,-18.0
4,4,2.0
4,4,-5.0
4,4,-13.0
4,4,-2.0
4,4,-8.0
4,4,3.0
4,4,-12.0
4,4,-14.0
4,4,-3.0
4,4,-3.0
4,4,-10.0
5,5,-7.0
5,5,-1.0
5,5,-3.0
5,5,-6.0
5,5,-18.0
5,5,-10.0
5,5,-11.0
5,5,6.0
5,5,2.0
5,5,4.0
5,5,2.0
5,5,-5.0
5,5,-9.0
5,5,13.0
5,5,1.0
5,5,1.0
5,5,-3.0
5,5,1.0
5,5,-8.0
5,5,6.0
5,5,4.0
5,5,8.0
5,5,-1.0
5,5,11.0
5,5,15.0
5,5,9.0
5,5,3.0
5,5,11.0
5,5,8.0
5,5,-3.0
5,5,-7.0
5,5,13.0
5,5,19.0
5,5,5.0
5,5,14.0
5,5,5.0
5,5,15.0
5,5,12.0
5,5,14.0
5,5,13.0
5,5,13.0
5,5,14.0
5,5,11.0
5,5,15.0
5,5,16.0
5,5,8.0
5,5,7.0
5,5,13.0
5,5,19.0
5,5,13.0
5,5,11.0
5,5,13.0
5,5,-3.0
5,5,11.0
5,5,9.0
5,5,16.0
5,5,13.0
5,5,-3.0
5,5,18.0
5,5,15.0
5,5,4.0
5,5,20.0
6,6,10.0
6,6,12.0
6,6,10.0
6,6,16.0
6,6,7.0
6,6,8.0
6,6,13.0
6,6,14.0
6,6,4.0
6,6,9.0
6,6,5.0
6,6,9.0
6,6,13.0
6,6,12.0
6,6,17.0
6,6,11.0
6,6,20.0
6,6,20.0
6,6,12.0
6,6,12.0
6,6,14.0
6,6,16.0
6,6,20.0
6,6,17.0
6,6,13.0
6,6,17.0
6,6,18.0
6,6,7.0
6,6,15.0
6,6,15.0
6,6,19.0
6,6,14.0
6,6,1.0
6,6,20.0
6,6,14.0
6,6,5.0
6,6,8.0
6,6,9.0
6,6,15.0
6,6,2.0
6,6,19.0
6,6,6.0
6,6,4.0
6,6,8.0
6,6,15.0
6,6,14.0
6,6,12.0
6,6,12.0
6,6,16.0
6,6,14.0
6,6,6.0
6,6,10.0
6,6,11.0
6,6,15.0
6,6,12.0
6,6,10.0
6,6,16.0
6,6,15.0
6,6,11.0
6,6,11.0
6,6,16.0
6,6,17.0
6,6,15.0
6,6,4.0
6,6,12.0
6,6,19.0
6,6,14.0
6,6,16.0
6,6,12.0
6,6,11.0
7,7,14.0
7,7,19.0
7,7,16.0
7,7,16.0
7,7,10.0
7,7,11.0
7,7,10.0
7,7,16.0
7,7,13.0
7,7,14.0
7,7,17.0
7,7,18.0
7,7,10.0
7,7,10.0
7,7,10.0
7,7,9.0
7,7,10.0
7,7,17.0
7,7,10.0
7,7,18.0
7,7,7.0
7,7,15.0
7,7,16.0
7,7,13.0
7,7,19.0
7,7,18.0
7,7,14.0
7,7,18.0
7,7,14.0
7,7,14.0
7,7,17.0
7,7,19.0
7,7,13.0
7,7,18.0
7,7,11.0
7,7,16.0
7,7,16.0
7,7,20.0
7,7,18.0
7,7,19.0
7,7,16.0
7,7,13.0
7,7,18.0
7,7,16.0
7,7,17.0
7,7,14.0
7,7,17.0
7,7,13.0
7,7,14.0
7,7,19.0
7,7,17.0
7,7,18.0
7,7,15.0
7,7,17.0
7,7,18.0
7,7,15.0
7,7,17.0
7,7,14.0
7,7,18.0
7,7,12.0
7,7,18.0
7,7,13.0
7,7,14.0
7,7,12.0
7,7,18.0
7,7,11.0
7,7,20.0
7,7,19.0
7,7,15.0
7,7,15.0
7,7,18.0
7,7,12.0
7,7,17.0
7,7,16.0
7,7,19.0
7,7,14.0
7,7,18.0
7,7,14.0
7,7,16.0
8,8,15.0
8,8,19.0
8,8,15.0
8,8,18.0
8,8,13.0
8,8,19.0
8,8,16.0
8,8,19.0
8,8,18.0
8,8,17.0
8,8,18.0
8,8,17.0
8,8,17.0
8,8,17.0
8,8,20.0
8,8,17.0
8,8,18.0
8,8,18.0
8,8,16.0
8,8,15.0
8,8,19.0
8,8,16.0
8,8,21.0
8,8,19.0
8,8,18.0
8,8,19.0
8,8,15.0
8,8,18.0
8,8,16.0
8,8,16.0
8,8,15.0
8,8,20.0
8,8,14.0
8,8,20.0
8,8,21.0
8,8,17.0
8,8,18.0
8,8,15.0
8,8,19.0
8,8,17.0
8,8,20.0
8,8,19.0
8,8,17.0
8,8,18.0
8,8,18.0
8,8,20.0
8,8,18.0
8,8,14.0
8,8,15.0
8,8,14.0
8,8,18.0
8,8,16.0
8,8,20.0
8,8,15.0
8,8,18.0
8,8,17.0
8,8,18.0
